Chapter,Author,Date,Text,Replies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,inkflows,Sep-18 2018,GURLLLL EDWINA IS MY SPIRIT ANIMAL,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,gracce-,Sep-16 2018,that's kind of high key poetic and i'm living for it,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,StarsNDSkies,Sep-16 2018,As in Podrick Payne..??ðŸ˜‚,3 Replies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Queenlikescoffee,Sep-07 2018,Ha,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,e-bae-free-shipping,Aug-24 2018,I want her to marry him, but at the same time I don't, if you get what I mean. I ship, but I don't want them to be forced into it. That'll just make them resent each other even more.,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Playedbythegame,Aug-24 2018,I think she did a good job in the end accepting it,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Playedbythegame,Aug-24 2018,"This comment may be offensive. SHE JUST GRABBED HER GRANDFATHER""S SHIRT AND SAID FUCK NO AND HE'S SCARED OF HER OH GO GIRLY",1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,cometworks,Aug-20 2018,i never thought about how powerful controlling an entire element would make someone! this explanation really puts her abilities into perspective!,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,GODSGRAVE,Aug-18 2018,yrs tristan and edwina i cant wait to see the chemistry evolve, and edwina will always be THE queen no one can replace her likew tf shes the best,, mygod cant wait to imagine the scenes again next chap,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Haitian_cheri,Aug-12 2018,I don't like helios at all ðŸ˜’ðŸ˜’ðŸ˜’,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Haitian_cheri,Aug-12 2018,ðŸ˜¨ðŸ˜¨ðŸ˜¨ðŸ˜¨ why,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Haitian_cheri,Aug-12 2018,Smh,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Haitian_cheri,Aug-12 2018,ðŸ˜Ÿ she hasn't agreed yet,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Letalis,Jul-16 2018,I bet their royal wedding will be better than Megan and Harryâ€™s ðŸ˜‚,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Letalis,Jul-16 2018,THANK YOU ðŸ™,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Letalis,Jul-16 2018,Finally someone admitted it ðŸ˜†,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Letalis,Jul-16 2018,I SCREAMED,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,LattyBritish,Jul-13 2018,Did I mentioned how much I live this dude!â™¥ï¸â™¥ï¸â™¥ï¸,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,ChangingCosmic,Jul-10 2018,I'm crying and I don't know why ðŸ˜­ðŸ˜­ðŸ˜­         Oh, wait     I do know why  BECAUSE SHE'S BEING MANIPULATEDTED (Idk if that's how you spell it) AND I DON'T LIKE ITðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,ChangingCosmic,Jul-10 2018,Maybe because he looks on the SUNNY side of things ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,gobliii8990By,Jul-05 2018,Omg actually what about Earth ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ ( 4 elements vibe),Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,BananaZurc,Jul-04 2018,She has a point you know. That's gonna be really hard on her part,2 Replies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,BookBeliefs,Jul-03 2018,Only Adion...,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,xoxo_celeste,Jul-03 2018,You got a point, Edwina.    But please, marry him for the sake of letting this ship sail. Please.,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,twilightspeaks,Jul-02 2018,She's actually confused wether she got laid or notðŸ˜‚ðŸ˜‚,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,theprincessofdorne31,Jun-25 2018,As in the Black Pearl from Bravos?,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,olympuses,Jun-20 2018,I love morally corrupt gods sign me up,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,sensationale,Jun-14 2018,aidon knows whats up,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,wishuponabutterfly,Jun-01 2018,This family is harsh!,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,CookiesnCream133,May-31 2018,I KNEW THISSSS,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,super101savanna,Feb-06 2018,I'd rather die than marry that guy,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Mardais,Feb-04 2018,Take it. Take it and leave.,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Mardais,Feb-04 2018,Only a sibling,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Mardais,Feb-04 2018,Shat,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Mardais,Feb-04 2018,BOOM! I've been waiting for this line,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,godavariflowsby,Jan-28 2018,I feel Edwina is justified but there is only so much grudge you can hold for so much time. She should just give in. But I'm so looking forward to the next chapters.,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,#NAME?,Jan-24 2018,I ship it so this is good in terms of my ship, but my bby girl doesnâ€™t deserve this crap,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Kiwana22,Jan-08 2018,I'm much more than a royal womb on legs ahhhhhhhðŸ˜ƒðŸ˜ƒðŸ˜ƒi love this line â¤â¤,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,1-800-LUSTING,Jan-05 2018,ewww helios stahp,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,1-800-LUSTING,Jan-05 2018,STAHP WAIT A MINUTE HOLD UP SHE DIDN'T AGREE,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,1-800-LUSTING,Jan-05 2018,you tried bitch you tried,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,1-800-LUSTING,Jan-05 2018,YAAAAASSSS,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,1-800-LUSTING,Jan-05 2018,This comment may be offensive. why the fuck you lying why the fuck you lying,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,1-800-LUSTING,Jan-05 2018,This comment may be offensive. no what no ellis what the fuck,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,1-800-LUSTING,Jan-05 2018,there it is,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,1-800-LUSTING,Jan-05 2018,me though,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,1-800-LUSTING,Jan-05 2018,cock,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,SydneyMarilyn,Jan-04 2018,WHAT ABOUT AIR. THE AVATAR WILL NEVER EXIST!ðŸ˜‚ðŸ˜‚,3 Replies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,kindwishes,Jan-01 2018,Oh come on Helios, that's your granddaughter ðŸ˜‚ stop being mean to her,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,kindwishes,Jan-01 2018,another word*,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,kindwishes,Jan-01 2018,Should there be anotherword between both and our?,2 Replies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,silentlywhispering,Dec-23 2017,CMON SAY IT WITH ME KIDS F U  C K,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,LostGurl_Neverland,Dec-22 2017,This is the first reason I decided to read this book! PURE GOLD!,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Goddess7x,Dec-19 2017,yes and yes,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,cringerod,Dec-19 2017,im not complaining ðŸ˜‰,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Himjadave_14,Dec-17 2017,Waht??,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Himjadave_14,Dec-17 2017,Thts it!,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,ella_officially,Dec-16 2017,I'm mad at these manipulative bastards, but I still want them to marry,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,ella_officially,Dec-16 2017,This comment may be offensive. What the fuck?! You are all sick! She already proved herself! Is that not enough?!,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,ella_officially,Dec-16 2017,Cosmo, and Titania, your great grandparents, are siblings. What happened to those 'sensous lips,' you kept on talking about?,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,ella_officially,Dec-16 2017,This comment may be offensive. These gods need to control their fucking temper.,2 Replies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Dresdenforever,Dec-10 2017,Yasss,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Dresdenforever,Dec-10 2017,New stuff. Only 3. ðŸ˜ðŸ˜,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,chaotichearts-,Dec-08 2017,Yes girl,,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,romanticismskiss,Nov-22 2017,Aww I feel bad for her,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,romanticismskiss,Nov-22 2017,Let her be,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,romanticismskiss,Nov-22 2017,Could they die ?,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,romanticismskiss,Nov-22 2017,That's horrifying but kinda romantic,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,romanticismskiss,Nov-22 2017,ðŸ‘ðŸ‘ðŸ‘,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,romanticismskiss,Nov-22 2017,I forgot that queens often had arranged marriages due to Disney but a queen has to do what a queen has to do,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,romanticismskiss,Nov-22 2017,*Fangirls at the mention of his name*,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,romanticismskiss,Nov-22 2017,Yasssssss omg,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,romanticismskiss,Nov-22 2017,ðŸ˜‚ðŸ˜‚love him,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,romanticismskiss,Nov-22 2017,Yasss hunty,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,romanticismskiss,Nov-22 2017,I wouldn't try her,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,romanticismskiss,Nov-22 2017,I can't get over the creativity this must have taken,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,romanticismskiss,Nov-22 2017,Woww,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,romanticismskiss,Nov-22 2017,*takes notes*,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,romanticismskiss,Nov-22 2017,Boy bye ðŸ˜‚ðŸ˜‚,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,aaasteriia,Nov-18 2017,Was druscilla the one who made the blood thingy?,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,collaterals,Nov-09 2017,He would do it. I know he loves her but he would because they would end up together anyway. The three of them. So he would still have his little girl. Idk, I'm so pissed I can't even think straight,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,collaterals,Nov-09 2017,He didn't have the right to do this, none of them did! But they did it anyway and I'm pissed because it was so unfair. They didn't even considered her feelings! They threw her to the wolves after starving them for years!!,2 Replies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,collaterals,Nov-09 2017,This comment may be offensive. Fuck. I want to be happy but I just can't. It's so unfair.,2 Replies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,collaterals,Nov-09 2017,This comment may be offensive. Manipulate bastards!! Why does she have to get married when she already proved her right to be the Queen? What the fuck is wrong with you all?!?,2 Replies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,collaterals,Nov-09 2017,That way i can live happily ever after with him ;),2 Replies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,collaterals,Nov-09 2017,YES YOU ARE BABE. BE YOUR OWN AND ONLY RULER,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,collaterals,Nov-09 2017,As if,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,collaterals,Nov-09 2017,The bitch got a point     But marry him,6 Replies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,collaterals,Nov-09 2017,Yes but No. Why is that? Oh wait, so that there won't be rivals to destroy the kingdom? If it's because she doesn't have a dick i swear on my name I'll kill you all,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,collaterals,Nov-09 2017,Kitten, you are THE Queen,2 Replies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,tsaikovsky,Nov-07 2017,Pfft,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,tsaikovsky,Nov-07 2017,ðŸ˜‚,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,tsaikovsky,Nov-07 2017,Um suuure but youâ€™ve been lusting for him so why stop there tbh,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,tsaikovsky,Nov-07 2017,I love this so much,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,tsaikovsky,Nov-07 2017,Loool,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,tsaikovsky,Nov-07 2017,Lol ofc,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,tsaikovsky,Nov-07 2017,Oh no,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,tsaikovsky,Nov-07 2017,cox,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,tsaikovsky,Nov-07 2017,WHY IS THIS NAMED PROPOSAL IM NERVOUS,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,offtojupiter,Nov-03 2017,THIS BOOK IS AWESOME!!!,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,PluckThatPeach,Oct-31 2017,YES ITS HAPPENING I GET TO BE A BRIDESMAID HALLELUJAH,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,PluckThatPeach,Oct-31 2017,IM SO GLAD IM HOME RN CUZ I LITERALLY BARKED OUT LAUGHING,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,PluckThatPeach,Oct-31 2017,EXACTLY   BUT I REALLY WANT YOU TO MARRY THAT GUY,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,PluckThatPeach,Oct-31 2017,IM GONNA BE THE BRIDESMAID,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,PluckThatPeach,Oct-31 2017,YES YES YES YES YES YES,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,PluckThatPeach,Oct-31 2017,I CALLED IT,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,_logogriph,Oct-20 2017,This is the second time this has happened to her. First, either she dies or loses her memory, now, either she gets reincarnated or marries someone she hates.  Is that even a choice?,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,_logogriph,Oct-20 2017,Funny.,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,_logogriph,Oct-20 2017,YES,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,_logogriph,Oct-20 2017,Edna predicted it right.,2 Replies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,ivoryswan,Oct-19 2017,This comment may be offensive. AHAHAHAHA OH SHIT,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Tris_fire,Oct-09 2017,What the hell!! Seriously gods too. That's freaking gender bias !! Poor Edwina :( cough interesting chapter btw :p,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,Tris_fire,Oct-09 2017,Wise words EdwinaðŸ’•,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,FayfayAhmadi,Oct-08 2017,Wooowww xD good plooott ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,-,Oct-03 2017,Thank you! Bring some new blood up in here!,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,-,Oct-03 2017,ðŸ˜’ðŸ˜’ Cheating Father, unloving mothe-,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,spicedbroccoli,Sep-28 2017,Her point is justified although it's been SOOO long but her character isn't someone that would let things like murdering her loved one go easily even after so many years. But she can't deny how Tristan makes her feel ðŸ˜ and u have a feeling it'll turn out well. At least I hope,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,spicedbroccoli,Sep-28 2017,True. I believe it'll turn out well but I fully understand Her point of view,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,spicedbroccoli,Sep-28 2017,I'm not actually complaining though ðŸ˜ŒðŸ˜Œ,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,spicedbroccoli,Sep-28 2017,Is Tristan consenting to the marriage though?,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,spicedbroccoli,Sep-28 2017,'Royal womb on legs' ðŸ˜‚ðŸ˜‚,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,spicedbroccoli,Sep-28 2017,Did she just grab her grandfather's shirt ðŸ˜‚ðŸ˜‚,2 Replies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,spicedbroccoli,Sep-28 2017,Not like it has stopped you gods before,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,spicedbroccoli,Sep-28 2017,Damn this people be keeping century old grudges,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,spicedbroccoli,Sep-28 2017,ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,spicedbroccoli,Sep-28 2017,Oh jeez,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,spicedbroccoli,Sep-28 2017,Is she older than Aidon?,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,spicedbroccoli,Sep-28 2017,He didn't know. It's so funny how she was gone for Ten days only but spent a years on earth accomplishing so much already,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 | ACT I, SCENE VII,spicedbroccoli,Sep-28 2017,Perks of being immortal,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
